OpeningDate,Title,Studio,OpeningGross,OpeningTheaters,TotalGross,TotalTheaters,GrossRatio,Stamina
2018-06-17,Pom Poko - Studio Ghibli Fest 2018,Other,107909,733,372405,758,3.4511023176936124,Strong
2018-06-15,Gotti,Other,1719902,503,4343227,503,2.525275858740789,Weak
2018-06-15,Incredibles 2,Buena Vista,182687905,4410,608581744,4410,3.3312645629167403,Strong
2018-06-15,Race 3,Other,1690861,314,1690861,314,1,Weaker
2018-06-15,Tag,Other,14947396,3382,54730625,3382,3.6615491420713013,Strong
2018-06-13,Superfly,Sony,6870740,2220,20545116,2220,2.990233366420502,Weak
2018-06-10,Bolshoi Ballet 2017/2018: Coppelia,Other,202217,360,202217,360,1,Weaker
2018-06-10,Jumanji Movie Event,Other,32264,335,49381,352,1.5305293825936028,Weaker
2018-06-08,Haikara-San: Here Comes Miss Modern,Other,6748,51,16572,101,2.4558387670420867,Weaker
2018-06-08,Hearts Beat Loud,Other,74524,4,2386251,170,32.01989962964951,Stronger
2018-06-08,Hereditary,Other,13575172,2964,44069456,2998,3.246327634007142,Weak
2018-06-08,Hotel Artemis,Other,3232790,2407,6708147,2407,2.0750333303431403,Weaker
2018-06-08,Ocean's 8,Warner Brothers,41607378,4145,140218711,4145,3.37004439453022,Strong
2018-06-08,Won't You Be My Neighbor?,Other,475419,29,22835787,893,48.032970916181306,Stronger
2018-06-03,The Producers (50th Anniversary),Other,120975,629,216807,664,1.7921636701797892,Weaker
2018-06-01,Action Point,Paramount,2390164,2032,5059608,2032,2.1168455386324956,Weaker
2018-06-01,Adrift,Other,11603039,3015,31445012,3015,2.7100669057477096,Weak
2018-06-01,American Animals,Other,134793,4,2856954,339,21.19512140838174,Stronger
2018-06-01,Best F(r)iends Volume Two,Other,69297,366,141524,544,2.042281772659711,Weaker
2018-06-01,Upgrade,Other,4670905,1457,11977130,1458,2.5641990149660505,Weak
2018-05-25,How to Talk to Girls at Parties,Other,12674,2,84809,103,6.691573299668613,Stronger
2018-05-25,Solo: A Star Wars Story,Buena Vista,84420489,4381,213767512,4381,2.5321757138838654,Weak
2018-05-20,Porco Rosso - Studio Ghibli Fest 2018,Other,156270,734,443059,755,2.8352146925193575,Weak
2018-05-19,Harry & Meghan - The Royal Wedding,Other,50264,194,50264,194,1,Weaker
2018-05-18,Book Club,Paramount,13582231,2781,68566296,3169,5.0482351537092836,Strong
2018-05-18,Deadpool 2,Fox,125507153,4349,318491426,4349,2.537635651730543,Weak
2018-05-18,First Reformed,Other,97562,4,3448256,334,35.3442528853447,Stronger
2018-05-18,On Chesil Beach,Other,35765,4,745971,203,20.857570250244652,Stronger
2018-05-18,Pope Francis - A Man of His Word,Other,507870,346,2008385,385,3.954525764467285,Strong
2018-05-18,Show Dogs,Other,6023972,3212,17857020,3212,2.964326527414138,Weak
2018-05-13,Sunset Boulevard (2018 re-release),Other,169067,628,299645,666,1.7723446917494248,Weaker
2018-05-11,Breaking In (2018),Universal,17630285,2537,46840590,2537,2.656825456877186,Weak
2018-05-11,Life of the Party,Other,17886075,3656,53059911,3656,2.9665486139357014,Weak
2018-05-11,The Seagull,Other,79016,6,1252960,211,15.857041611825453,Stronger
2018-05-09,Puffs: Filmed Live Off Broadway,Other,232863,606,464483,687,1.9946620974564444,Weaker
2018-05-04,102 Not Out,Sony,483681,102,1343797,102,2.778271215946047,Weak
2018-05-04,Bad Samaritan,Other,1726868,2007,3435047,2007,1.989177516752873,Weaker
2018-05-04,Overboard (2018),Other,14711101,1623,50316123,2006,3.420282615148927,Strong
2018-05-04,RBG,Other,578470,34,14017361,432,24.231785572285514,Stronger
2018-05-04,Tully (2018),Other,3282610,1353,9369755,1356,2.854361316147821,Weak
2018-04-29,Labyrinth (2018 Fathom Event),Other,558857,576,993336,685,1.7774421721477944,Weaker
2018-04-28,Met Opera: Cendrillon,Other,925752,684,1243306,684,1.3430227533939976,Weaker
2018-04-27,Avengers: Infinity War,Buena Vista,257698183,4474,678815482,4474,2.6341492753171645,Weak
2018-04-27,Disobedience,Other,237393,5,3498782,247,14.738353700403971,Stronger
2018-04-27,Kings (2018),Other,163289,215,274635,215,1.6818952899460466,Weaker
2018-04-22,The Cat Returns - Studio Ghibli Fest 2018,Other,254402,721,563718,752,2.215855221263984,Weaker
2018-04-20,Bharat Ane Nenu,Other,2663090,305,2663090,305,1,Weaker
2018-04-20,I Feel Pretty,Other,16030218,3440,48795601,3440,3.04397613307567,Weak
2018-04-20,Super Troopers 2,Fox,15181624,2038,30617396,2125,2.0167405015431816,Weaker
2018-04-20,Traffik,Other,3941338,1046,9186156,1046,2.3307201767521586,Weaker
2018-04-15,Survival Sunday: The Walking Dead/Fear the Walking Dead,Other,605764,777,605764,777,1,Weaker
2018-04-14,The Metropolitan Opera: Luisa Miller,Other,850777,685,1166858,685,1.3715203866583134,Weaker
2018-04-13,Rampage (2018),Other,35753093,4101,101028233,4115,2.825720085252484,Weak
2018-04-13,Sgt. Stubby: An American Hero,Other,1164403,1633,4015935,1633,3.4489218938803834,Strong
2018-04-13,The Rider,Other,42244,3,2419031,224,57.26330366442572,Stronger
2018-04-13,Truth or Dare,Universal,18667855,3029,41411015,3068,2.2183060131975525,Weaker
2018-04-11,Beirut,Other,1734497,755,5019226,755,2.893764589964699,Weak
2018-04-08,Bolshoi Ballet 2017/2018: Giselle,Other,244588,357,302681,357,1.2375136965018725,Weaker
2018-04-08,Grease (40th Anniversary),Other,664766,700,1213413,735,1.825323497290776,Weaker
2018-04-06,A Quiet Place,Paramount,50203562,3508,188024361,3808,3.7452394513361424,Strong
2018-04-06,Blockers,Universal,20556350,3379,60311495,3418,2.933959336166197,Weak
2018-04-06,Chappaquiddick,Other,5765854,1560,17395520,1645,3.0169893306351496,Weak
2018-04-06,Lean on Pete,Other,46975,4,1163056,187,24.759042043640235,Stronger
2018-04-06,The Miracle Season,Other,3950652,1707,10230620,1707,2.5896029313642406,Weak
2018-04-06,You Were Never Really Here,Other,132829,3,2528078,233,19.03257571765202,Stronger
2018-03-31,The Metropolitan Opera: Cosi Fan Tutte (2018),Other,966870,687,1302949,687,1.3475948162627862,Weaker
2018-03-30,Baaghi 2,Other,650722,123,1319579,123,2.027869043923519,Weaker
2018-03-30,Best F(r)iends Movie,Other,131671,409,252410,504,1.916974884370894,Weaker
2018-03-30,Finding Your Feet,Other,60132,14,1418682,277,23.59279584913191,Stronger
2018-03-30,God's Not Dead: A Light in Darkness,Other,2689677,1693,5728940,1693,2.129973227268553,Weaker
2018-03-30,Tyler Perry's Acrimony,Other,17170707,2006,43549096,2006,2.5362436153619066,Weak
2018-03-29,Ready Player One,Warner Brothers,41764050,4234,137690172,4234,3.296858709823401,Weak
2018-03-25,Ponyo (10th Anniversary) - Studio Ghibli Fest 2018,Other,281697,726,653072,757,2.3183491481982412,Weaker
2018-03-23,Final Portrait,Other,25472,3,461972,100,18.136463567839197,Stronger
2018-03-23,Isle Of Dogs,Other,1620294,27,32015231,1947,19.75890239672553,Stronger
2018-03-23,Midnight Sun,Other,4003993,2173,9561064,2173,2.3878822964975215,Weaker
2018-03-23,Pacific Rim Uprising,Universal,28116535,3708,59874525,3708,2.1295129360712477,Weaker
2018-03-23,"Paul, Apostle of Christ",Other,5172585,1473,17560475,1473,3.3949127950531506,Strong
2018-03-23,Sherlock Gnomes,Paramount,10604774,3662,43242871,3662,4.077679637491568,Strong
2018-03-23,Unsane,Other,3762145,2023,7732899,2023,2.0554494842702766,Weaker
2018-03-18,Vertigo (60th Anniversary),Other,252880,628,394212,662,1.558889591901297,Weaker
2018-03-16,7 Days in Entebbe,Other,1592645,838,3326885,838,2.0889055627588067,Weaker
2018-03-16,Flower,Other,48919,3,328188,101,6.708804350048038,Stronger
2018-03-16,I Can Only Imagine,Other,17108914,1629,83482352,2894,4.87946528926383,Strong
2018-03-16,Journey's End,Other,11798,2,161796,185,13.713849805051703,Stronger
2018-03-16,"Love, Simon",Fox,11756244,2402,40826341,2434,3.4727367856604543,Strong
2018-03-16,Tomb Raider,Warner Brothers,23633317,3854,58250803,3854,2.46477474998537,Weaker
2018-03-11,Yu-Gi-Oh! The Movie (2018 re-release),Other,68833,556,121688,576,1.7678729679078349,Weaker
2018-03-10,Met Opera: Semiramide,Other,798605,691,1033651,691,1.2943207217585666,Weaker
2018-03-09,A Wrinkle in Time,Buena Vista,33123609,3980,100478608,3980,3.033443849672299,Weak
2018-03-09,Gringo,Other,2722420,2404,4969853,2404,1.8255276555417606,Weaker
2018-03-09,Strangers: Prey at Night,Other,10402271,2464,24586708,2464,2.36359041213212,Weaker
2018-03-09,The Death of Stalin,Other,184805,4,8047856,548,43.54782608695652,Stronger
2018-03-09,The Hurricane Heist,Other,3024399,2402,6115825,2402,2.022162089062984,Weaker
2018-03-09,Thoroughbreds,Other,1224430,549,3072605,564,2.509416626511928,Weak
2018-03-04,Bolshoi Ballet 2017/2018: The Flames of Paris,Other,175922,360,175922,360,1,Weaker
2018-03-02,Death Wish (2018),MGM,13010267,2847,34017028,2882,2.614629507603495,Weak
2018-03-02,Red Sparrow,Fox,16853422,3056,46874505,3064,2.7813048887045015,Weak
2018-02-25,The Dark Crystal (special re-release),Other,548354,609,1036956,616,1.8910338941632594,Weaker
2018-02-24,Met Opera: La Boh̬me (2018),Other,1326339,687,1764201,687,1.330128270374316,Weaker
2018-02-23,Annihilation,Paramount,11071584,2012,32732301,2112,2.9564243923904656,Weak
2018-02-23,Every Day (2018),Other,3016149,1667,6102076,1669,2.0231347987118675,Weaker
2018-02-23,Game Night,Other,17005332,3488,69179066,3502,4.06808088192574,Strong
2018-02-18,The Philadelphia Story (2018 re-release),Other,258994,630,404524,665,1.5619049089940307,Weaker
2018-02-16,Black Panther,Buena Vista,202003951,4020,700059566,4084,3.465573631280113,Strong
2018-02-16,Detective Chinatown 2,Warner Brothers,704047,115,1983984,115,2.8179709593251587,Weak
2018-02-16,Early Man,Other,3190525,2494,8267544,2494,2.5912801184757996,Weak
2018-02-16,Nostalgia,Other,15955,3,114603,140,7.182889376371044,Stronger
